date,day_label,session_type,player_id,team,duration_min,total_distance_m,high_speed_distance_m,sprint_distance_m,accel_count,decel_count,mean_accel_intensity,mean_decel_intensity,max_speed_kmh,%_max_speed,distance_at_max_speed_m,rpe,hr_mean,hr_zone_1_min,hr_zone_2_min,hr_zone_3_min,hr_zone_4_min,hr_zone_5_min,internal_load_rpe,internal_load_hr
2025-01-06,MD,Match,25,U23,87,7183.014721968042,537.4210391551276,119.84772298900259,15,11,3.15,2.87,30.5,94.4,617.4,6.5,136.3,18,25,18,25,1,565.5,227
2025-01-06,MD,Match,26,U23,95,6888.349856349931,408.18051200605396,189.1466250267098,14,13,3.77,2.87,27.4,84.6,313.3,7.9,176.6,18,24,26,21,6,750.5,258
2025-01-06,MD,Match,27,U23,91,5084.877136269536,487.00113245986455,0.0,14,18,3.79,3.77,24.7,79.7,447.6,3.2,155.8,18,23,20,26,4,291.2,248
2025-01-06,MD,Match,28,U23,88,6608.459120129807,434.60212143276567,170.59382540485714,10,16,2.85,2.54,33.7,96.0,208.1,7.4,151.7,24,23,25,11,5,651.2,214
2025-01-06,MD,Match,29,U23,96,5974.852314804815,418.8165082187305,134.73357253730708,15,10,2.86,2.67,26.7,80.7,299.4,4.5,134.0,22,25,20,25,4,432.0,252
2025-01-06,MD,Match,30,U23,91,6751.415420280077,634.3354159102901,130.6265896130924,13,18,3.41,3.27,26.1,77.0,286.0,4.1,131.2,24,21,18,25,3,373.09999999999997,235
2025-01-06,MD,Match,31,U23,88,5239.644689481812,460.6272446032769,68.52364426255036,16,8,3.39,3.37,23.1,72.6,479.0,4.3,127.8,22,21,17,23,5,378.4,232
2025-01-06,MD,Match,32,U23,91,4377.179522563711,275.70842328739263,87.18253749209755,6,13,3.78,3.24,28.8,84.5,312.8,7.1,140.9,24,23,20,22,2,646.1,228
2025-01-06,MD,Match,33,U23,91,7458.331480565887,618.4641763717593,203.95466764427346,14,12,2.74,3.82,32.1,96.1,239.0,7.1,127.7,18,24,24,18,7,646.1,245
2025-01-06,MD,Match,34,U23,85,6661.429528646,428.67569124123935,197.33634687468378,13,12,3.67,2.66,31.3,92.9,452.2,7.8,140.5,21,23,17,19,5,663.0,219
2025-01-06,MD,Match,35,U23,90,7612.768522566139,406.45981753927254,183.95068892563572,10,14,3.64,2.54,23.6,70.7,400.8,5.4,166.2,20,26,21,20,3,486.00000000000006,230
2025-01-06,MD,Match,36,U23,99,5155.195932638779,462.6297442788439,74.3141715243649,6,13,3.93,2.73,28.0,83.1,495.2,5.1,158.3,23,22,28,22,4,504.9,259
2025-01-06,MD,Match,37,U23,94,6690.149247353006,411.4289940440307,0.0,11,12,2.55,3.88,28.6,88.5,573.7,5.4,127.0,22,20,22,25,5,507.6,253
2025-01-06,MD,Match,38,U23,86,7192.156622366184,456.3399658723449,116.5650025877163,11,5,3.22,3.4,28.2,78.8,565.7,7.3,166.8,17,21,17,28,3,627.8,237
2025-01-06,MD,Match,39,U23,89,5262.452966211185,425.7734221927012,111.52702715114978,12,9,2.62,3.1,24.4,73.9,366.9,6.4,168.0,18,22,23,22,4,569.6,239
2025-01-06,MD,Match,40,U23,87,7089.445554880262,605.8145751321325,172.1440640848891,15,14,3.84,3.32,33.3,94.6,437.2,6.2,151.6,23,17,17,27,3,539.4,231
2025-01-06,MD,Match,41,U21,86,6274.171248918517,587.1945318855476,0.0,14,11,2.84,3.99,34.9,99.1,473.8,4.0,160.8,24,22,22,14,4,344.0,210
2025-01-06,MD,Match,42,U21,81,4203.502707536358,288.1582576171538,45.40700896935286,16,10,3.23,3.81,33.1,97.1,250.2,4.4,155.5,23,17,20,18,3,356.40000000000003,204
2025-01-06,MD,Match,43,U21,96,8165.524143635934,461.99216265324327,230.10978133326975,8,21,3.78,3.24,24.5,77.5,742.7,5.2,150.9,19,21,26,23,7,499.20000000000005,266
2025-01-06,MD,Match,44,U21,81,8210.939687216625,544.0527845723848,103.6013115682387,22,8,2.75,3.28,24.9,80.1,722.7,5.2,134.9,21,21,17,20,2,421.2,204
2025-01-06,MD,Match,45,U21,94,8833.75137233032,651.326126116779,230.6793101086654,13,8,2.9,2.59,26.9,85.9,844.2,3.2,127.3,20,22,18,28,6,300.8,260
2025-01-06,MD,Match,46,U21,89,7209.0138904318965,673.292446569335,146.4289175419057,12,7,2.96,3.56,25.7,76.0,556.1,7.8,125.6,22,21,24,17,5,694.1999999999999,229
2025-01-06,MD,Match,47,U21,92,5624.260292205946,516.9019418032249,133.09789802680865,12,15,2.55,3.9,27.8,90.6,435.1,4.1,159.5,18,22,25,19,8,377.2,253
2025-01-06,MD,Match,48,U21,84,8507.713859917027,758.2012843218747,210.72743004701584,17,9,3.71,3.64,36.4,93.8,514.6,7.1,127.2,20,16,19,25,4,596.4,229
2025-01-06,MD,Match,49,U21,83,4534.388926617914,384.3953863729159,86.03491714345274,9,8,3.41,3.5,27.2,88.6,283.1,4.9,171.8,17,19,20,27,0,406.70000000000005,223
2025-01-06,MD,Match,50,U21,101,9168.0770343744,703.0093144252394,231.9309436261795,20,8,3.47,3.85,23.3,77.2,870.0,3.3,176.1,24,21,25,30,1,333.29999999999995,266
2025-01-06,MD,Match,51,U21,85,5523.5914370612445,361.0467828011466,114.79804659138132,10,13,3.12,2.68,25.9,75.3,429.1,3.9,151.5,21,19,24,18,3,331.5,218
2025-01-06,MD,Match,52,U21,91,9096.122054590558,705.0524919859616,0.0,13,16,2.82,3.42,27.4,82.3,807.6,7.5,141.2,19,24,20,24,4,682.5,243
2025-01-06,MD,Match,53,U21,88,8871.613109010601,739.6928773241759,0.0,13,12,3.61,3.79,23.7,76.5,325.6,3.1,158.5,18,20,21,23,6,272.8,243
2025-01-06,MD,Match,54,U21,101,7471.575241082271,424.5497559092275,135.13371435628096,11,6,3.59,3.37,26.8,78.1,265.7,3.4,173.7,21,23,22,31,4,343.4,277
2025-01-06,MD,Match,55,U21,87,6703.697161454548,509.1658404195756,0.0,15,11,3.48,3.3,26.6,79.9,357.4,6.3,179.6,22,20,17,22,6,548.1,231
2025-01-06,MD,Match,56,U21,99,7837.490368782584,460.5712745564995,109.8712206804121,12,10,3.02,3.5,33.6,93.9,743.8,4.2,144.0,20,28,28,18,5,415.8,257
2025-01-06,MD,Match,57,U21,96,7212.575370459857,548.5012023188388,84.98208738432264,15,13,2.95,2.89,27.5,80.9,260.6,7.7,153.2,23,24,23,23,3,739.2,247
2025-01-06,MD,Match,58,U21,81,6990.89363269016,696.3482390570484,99.06243287029459,18,14,3.82,3.8,29.2,94.2,596.3,4.5,124.9,18,16,20,21,6,364.5,224
2025-01-06,MD,Match,59,U21,90,6986.321505033695,573.2179256558754,88.38041447281552,12,14,3.25,3.1,24.5,74.2,389.3,3.3,121.5,20,19,21,24,6,297.0,247
2025-01-06,MD,Match,60,U21,90,5590.996909271868,458.69274270424467,0.0,13,7,3.67,3.19,23.7,71.6,557.1,3.3,161.7,26,19,18,23,4,297.0,230
2025-01-06,MD,Match,61,U19,88,5939.864864172733,327.0031663333356,66.79874590250535,16,9,3.29,3.14,24.6,73.9,546.8,5.2,131.7,24,24,24,14,2,457.6,210
2025-01-06,MD,Match,62,U19,80,6955.164289146551,515.1495971695049,0.0,9,7,2.82,2.52,25.3,77.1,683.8,7.0,177.6,19,16,19,22,4,560.0,216
2025-01-06,MD,Match,63,U19,95,6762.205640459545,371.27301107347967,87.91525493933712,10,11,3.09,3.19,33.0,93.5,625.1,7.8,167.2,21,20,25,22,7,741.0,259
2025-01-06,MD,Match,64,U19,84,10235.962319898255,849.2542111536887,232.6981607366852,13,11,3.61,3.27,29.4,90.5,336.9,3.4,163.0,17,17,16,31,3,285.59999999999997,238
2025-01-06,MD,Match,65,U19,83,5542.578942234022,374.04183497272976,128.73976586096674,8,6,3.65,2.9,23.4,70.7,198.2,7.8,137.7,18,17,16,26,6,647.4,234
2025-01-06,MD,Match,66,U19,96,8992.291212773587,739.1232886879517,97.46766448432396,13,13,3.01,3.89,23.9,76.6,504.0,5.2,146.4,24,26,20,20,6,499.20000000000005,246
2025-01-06,MD,Match,67,U19,88,6584.780050166619,621.2492719530319,103.50046694145045,9,11,3.59,3.66,28.8,89.7,279.3,5.7,179.1,23,24,19,18,4,501.6,220
2025-01-06,MD,Match,68,U19,89,8857.424607150453,767.4079520960453,193.15344927638398,12,12,3.81,3.45,31.9,92.7,365.0,5.3,120.6,19,23,25,17,5,471.7,233
2025-01-06,MD,Match,69,U19,88,5724.2193186860495,515.200050701682,0.0,13,12,3.03,3.68,28.3,86.5,173.8,6.8,122.1,25,20,20,20,3,598.4,220
2025-01-06,MD,Match,70,U19,93,6318.715662532726,592.9011280933912,109.7320206068012,11,16,3.09,3.12,28.9,90.9,191.0,6.1,141.3,25,19,23,23,3,567.3,239
2025-01-06,MD,Match,71,U19,101,6555.9741590051535,349.0576324277047,139.1813105768974,13,11,2.59,3.0,31.4,93.5,521.4,6.9,151.0,23,24,21,31,2,696.9000000000001,268
2025-01-06,MD,Match,72,U19,89,7720.089370130025,669.9737179182372,221.27525990994053,13,12,2.68,3.11,33.1,95.1,439.0,5.9,155.3,19,21,20,27,2,525.1,239
2025-01-06,MD,Match,73,U19,87,8157.158487873736,619.1604546642922,0.0,19,10,3.76,2.78,29.0,94.2,506.3,5.4,128.0,20,20,22,20,5,469.8,231
2025-01-06,MD,Match,74,U19,88,6096.681909457329,490.85152694867804,0.0,15,19,2.59,2.92,25.5,78.0,288.3,7.5,135.0,19,23,20,21,5,660.0,234
2025-01-06,MD,Match,75,U19,87,6978.970692613617,370.8112781663447,89.22549420837224,12,17,3.13,2.89,28.1,91.8,688.8,4.3,159.3,20,24,21,17,5,374.09999999999997,224
2025-01-06,MD,Match,76,U19,83,5787.37026321492,333.13458311205204,0.0,13,13,3.56,3.32,23.0,72.3,359.3,5.4,129.9,23,23,21,12,4,448.20000000000005,200
2025-01-06,MD,Match,77,U19,78,5485.403942935094,452.81281831955334,61.685902240217146,12,11,3.68,2.8,25.7,77.6,227.8,4.7,165.4,22,22,22,10,2,366.6,182
2025-01-06,MD,Match,78,U19,90,6562.283096626684,651.303203373604,69.1884371480154,5,16,3.25,2.66,29.6,89.7,574.5,4.9,166.5,26,20,22,21,1,441.00000000000006,221
2025-01-06,MD,Match,79,U19,94,5997.783871691509,473.10320229847645,155.69217226768498,11,11,3.54,3.69,25.4,79.6,539.8,7.5,136.6,26,24,20,21,3,705.0,233
2025-01-06,MD,Match,80,U19,87,10093.787378864718,546.8128053259524,263.16593826166377,14,10,2.52,3.34,28.6,85.9,811.1,7.5,124.8,23,19,24,19,2,652.5,219
2025-01-05,MD-1,Training,1,First Team,76,8976.396303411939,767.5908567749591,174.3517587594571,16,9,3.74,3.0,24.5,75.2,716.7,7.1,126.0,17,18,20,18,3,539.6,200
2025-01-05,MD-1,Training,2,First Team,70,8825.737781238244,596.785333034644,171.44651699475713,7,9,2.6,2.76,31.0,95.7,405.1,7.2,136.8,16,17,16,13,8,504.0,190
2025-01-05,MD-1,Training,3,First Team,64,5983.382544212723,309.09835744776154,137.99628223001022,14,16,3.34,2.67,26.9,83.3,372.3,7.3,152.8,12,14,12,21,5,467.2,185
2025-01-05,MD-1,Training,4,First Team,74,7497.970495853522,479.88410652803515,118.80057836561191,15,9,2.92,3.81,24.9,73.5,594.3,5.7,125.8,15,14,17,23,5,421.8,211
2025-01-05,MD-1,Training,5,First Team,82,4575.534087345119,296.7777904281815,0.0,15,13,3.84,2.78,26.6,72.3,214.0,7.0,122.1,16,22,20,19,5,574.0,221
2025-01-05,MD-1,Training,6,First Team,86,7397.733290948331,676.6287926998941,158.57372018131736,12,9,3.66,3.4,34.7,96.7,451.5,6.0,157.9,21,22,18,19,6,516.0,225
2025-01-05,MD-1,Training,7,First Team,65,7045.242358802688,487.710892588269,162.35398320379647,20,14,3.45,2.61,25.9,77.5,389.8,5.4,122.7,18,14,15,14,4,351.0,167
2025-01-05,MD-1,Training,8,First Team,68,7678.050016878653,491.6574892254318,0.0,12,9,3.36,3.27,26.5,78.9,731.1,5.0,125.2,17,14,15,20,2,340.0,180
2025-01-05,MD-1,Training,9,First Team,85,7031.967473007913,525.1285486186957,209.94878909999903,7,10,3.12,3.86,34.0,91.4,510.2,4.5,169.4,21,17,19,23,5,382.5,229
2025-01-05,MD-1,Training,10,First Team,68,3772.2768980060428,211.44083557087532,94.39580090079991,6,13,3.04,3.39,24.1,70.3,281.1,7.6,156.8,19,18,14,14,3,516.8,168
2025-01-05,MD-1,Training,11,First Team,63,7162.839558664785,362.33460665529975,113.89498063068069,12,3,3.34,3.01,33.5,91.8,541.9,7.2,161.5,13,13,15,14,8,453.6,180
2025-01-05,MD-1,Training,12,First Team,67,9088.697950096494,828.1723245884434,257.5073952804888,11,12,3.4,3.56,30.1,90.7,511.0,3.8,145.8,13,18,15,17,4,254.6,182
2025-01-05,MD-1,Training,13,First Team,88,9093.525716184933,609.5409232015824,0.0,11,13,3.05,2.83,33.6,99.7,561.8,6.4,128.4,21,25,20,18,4,563.2,223
2025-01-05,MD-1,Training,14,First Team,74,5352.78178295373,273.88902293865124,102.61529000969962,10,9,3.4,3.74,34.4,99.4,268.6,7.8,143.4,17,16,18,19,4,577.1999999999999,199
2025-01-05,MD-1,Training,15,First Team,76,5229.5605906151595,403.12193646705475,139.4880656524841,11,8,2.59,3.01,26.3,78.0,510.7,5.8,140.8,18,19,18,19,2,440.8,196
2025-01-05,MD-1,Training,16,First Team,77,7437.7926430000225,583.6351695546186,104.32428072017065,11,11,2.84,3.95,33.2,97.4,599.1,5.7,172.2,15,20,15,21,6,438.90000000000003,214
2025-01-05,MD-1,Training,17,First Team,68,8309.754146040199,779.9080619054452,107.8266999339666,12,12,2.93,2.8,30.7,92.7,474.1,5.6,149.5,18,15,17,11,7,380.79999999999995,178
2025-01-05,MD-1,Training,18,First Team,77,7622.04779309633,745.4542407079857,0.0,11,16,3.83,3.17,28.6,85.4,563.0,7.6,121.1,17,19,19,15,7,585.1999999999999,207
2025-01-05,MD-1,Training,19,First Team,67,7610.578430686803,494.45760188955524,198.55043353901922,9,19,4.0,3.52,29.2,94.8,385.3,3.1,164.3,13,17,17,14,6,207.70000000000002,184
2025-01-05,MD-1,Training,20,First Team,82,8783.370057211965,810.6705550615499,103.39866040430185,12,10,2.6,3.02,24.8,73.4,760.4,7.7,124.3,22,19,17,18,6,631.4,213
2025-01-05,MD-1,Training,21,U23,75,5774.367053397714,518.109571845872,63.54413905040006,6,9,2.92,3.71,31.9,97.9,337.0,7.5,139.3,20,22,19,13,1,562.5,178
2025-01-05,MD-1,Training,22,U23,73,9040.987893757976,507.6156129828031,181.37739710846841,11,12,3.52,2.86,28.8,91.4,791.8,7.0,153.2,18,15,20,18,2,511.0,190
2025-01-05,MD-1,Training,23,U23,74,4346.3861426663225,279.09755604427596,0.0,13,14,2.5,3.27,24.1,71.5,214.4,6.5,123.8,16,14,16,22,6,481.0,210
2025-01-05,MD-1,Training,24,U23,66,8093.027195825373,531.4480207298592,225.28918242130132,11,6,3.24,3.08,31.2,88.9,641.5,3.0,130.0,17,17,18,10,4,198.0,165
2025-01-05,MD-1,Training,25,U23,64,8587.726815295488,474.62859917503465,196.5128189993636,20,10,2.81,3.05,26.2,81.1,289.1,6.8,145.0,13,16,15,15,5,435.2,175
2025-01-05,MD-1,Training,26,U23,78,6590.470358910971,552.8789082216451,104.82821628670526,15,12,3.57,2.8,31.3,96.6,330.3,4.8,123.5,15,18,17,23,5,374.4,219
2025-01-05,MD-1,Training,27,U23,59,5299.276607369675,270.08495348835964,0.0,11,10,3.39,2.51,26.0,83.9,516.4,5.6,160.7,14,13,15,10,7,330.4,160
2025-01-05,MD-1,Training,28,U23,67,8009.29185395023,448.6033317465795,0.0,15,9,2.5,2.95,31.4,89.5,786.5,7.2,121.4,18,17,17,9,6,482.40000000000003,169
2025-01-05,MD-1,Training,29,U23,52,5595.567051389841,364.5276161498297,0.0,9,11,3.21,2.59,32.7,98.8,537.1,6.9,179.5,10,11,10,15,6,358.8,152
2025-01-05,MD-1,Training,30,U23,75,6437.205429514094,522.1904951203184,138.82456622770206,8,12,3.51,2.89,27.2,80.2,606.5,4.5,148.2,21,19,15,16,4,337.5,188
2025-01-05,MD-1,Training,31,U23,66,10134.30808254216,574.7545394661618,208.69777725300452,9,13,2.91,3.71,26.6,83.6,691.8,5.2,122.6,14,13,18,17,4,343.2,182
2025-01-05,MD-1,Training,32,U23,62,6356.133369552007,623.1003272151638,0.0,13,10,2.61,3.43,33.9,99.4,275.3,7.0,174.5,16,17,14,9,6,434.0,158
2025-01-05,MD-1,Training,33,U23,74,5135.014107390852,441.1827413352372,0.0,13,7,3.66,3.25,23.5,70.4,157.3,4.8,175.6,15,16,19,18,6,355.2,206
2025-01-05,MD-1,Training,34,U23,62,6294.936778360748,449.67944486129153,0.0,12,6,3.1,3.88,33.6,99.7,208.6,6.8,142.3,14,16,17,10,5,421.59999999999997,162
2025-01-05,MD-1,Training,35,U23,76,7881.597478719914,534.8141353730144,118.38181217670628,13,13,2.79,3.88,24.4,73.1,515.6,4.1,122.3,21,19,18,14,4,311.59999999999997,189
2025-01-05,MD-1,Training,36,U23,81,7823.846194752472,688.0197450190129,0.0,10,10,3.21,3.25,25.7,76.3,558.5,3.9,139.9,20,16,15,20,10,315.9,227
2025-01-05,MD-1,Training,37,U23,48,7298.422220194741,660.8278236851459,121.47363055075492,14,13,3.81,3.31,25.3,78.3,436.2,3.2,127.7,9,12,9,12,6,153.60000000000002,138
2025-01-05,MD-1,Training,38,U23,49,5369.131091705796,330.31341781635643,0.0,9,10,2.99,3.57,33.8,94.4,229.3,4.9,174.1,13,14,13,7,2,240.10000000000002,118
2025-01-05,MD-1,Training,39,U23,89,4419.846173578273,367.0713747946994,0.0,12,3,3.4,2.94,30.2,91.5,367.4,3.5,150.8,26,25,24,14,0,311.5,204
2025-01-05,MD-1,Training,40,U23,76,6518.9985616642125,626.1480259996706,160.23451546493646,16,14,3.02,3.0,35.0,99.4,586.4,6.5,163.6,17,20,17,14,8,494.0,204
2025-01-05,MD-1,Training,41,U21,64,6419.350446288398,573.3140025502441,113.53969822454597,22,8,3.73,3.32,34.9,99.1,215.8,5.5,163.1,17,15,14,14,4,352.0,165
2025-01-05,MD-1,Training,42,U21,77,6281.743815987394,405.18677713736037,147.3323956372329,15,12,3.75,3.86,24.0,70.4,484.8,3.3,152.9,17,17,17,23,3,254.1,209
2025-01-05,MD-1,Training,43,U21,59,8669.032562484888,751.0412245276897,98.54144800959055,15,10,3.0,2.58,25.7,81.3,833.2,6.2,160.3,14,16,12,15,2,365.8,152
2025-01-05,MD-1,Training,44,U21,80,5554.361610684084,397.69754786019575,63.04228718532145,12,21,3.11,3.61,28.3,91.0,331.0,4.7,143.9,17,17,19,24,3,376.0,219
2025-01-05,MD-1,Training,45,U21,65,5494.063941877752,455.1161874411446,121.26906697016334,6,18,2.64,3.4,27.8,88.8,414.2,4.3,120.9,15,13,13,17,7,279.5,183
2025-01-05,MD-1,Training,46,U21,85,8526.492200265253,829.9404977829313,0.0,9,13,3.11,2.52,29.6,87.6,406.9,5.3,177.5,19,23,18,20,5,450.5,224
2025-01-05,MD-1,Training,47,U21,66,6788.60812858357,593.4548104050182,126.81404735196423,9,13,3.38,3.42,27.4,89.3,318.7,6.6,125.5,17,12,14,18,5,435.59999999999997,180
2025-01-05,MD-1,Training,48,U21,72,5952.092746605918,371.2795729820129,0.0,11,12,2.62,3.93,36.9,95.1,514.0,7.1,176.0,18,15,18,18,3,511.2,189
2025-01-05,MD-1,Training,49,U21,83,8330.936255900113,633.7547418467855,0.0,11,12,2.9,3.05,29.7,96.7,638.6,6.9,147.3,22,20,20,19,2,572.7,208
2025-01-05,MD-1,Training,50,U21,81,7807.48603359539,415.36073454018316,123.73040135600142,11,9,2.58,3.24,29.5,97.7,291.8,6.8,144.6,20,17,16,23,5,550.8,219
2025-01-05,MD-1,Training,51,U21,80,5441.7103153196795,511.98076063545085,128.98315198166497,7,9,3.27,3.3,27.8,80.8,298.0,7.1,167.4,22,17,17,18,6,568.0,209
2025-01-05,MD-1,Training,52,U21,72,8061.454635562732,756.2931996050762,0.0,11,11,3.79,3.52,31.7,95.2,726.4,6.7,146.4,17,14,18,18,5,482.40000000000003,196
2025-01-05,MD-1,Training,53,U21,80,5621.970232770858,345.63821290143045,0.0,8,13,3.27,2.74,22.5,72.6,176.2,3.8,173.5,16,17,19,25,3,304.0,222
2025-01-05,MD-1,Training,54,U21,62,4873.564098722842,257.74627386320617,71.56374379415743,13,10,3.31,3.54,31.2,91.0,204.8,5.5,144.7,16,15,14,11,6,341.0,162
2025-01-05,MD-1,Training,55,U21,77,5624.672962422157,314.1953300896022,72.31551637203016,14,10,2.81,3.26,27.5,82.6,175.9,7.0,124.1,18,18,15,16,10,539.0,213
2025-01-05,MD-1,Training,56,U21,63,8866.747114031587,807.4895005140224,174.69170466843028,10,10,3.78,3.82,30.1,84.1,313.0,4.9,168.2,17,13,12,16,5,308.70000000000005,168
2025-01-05,MD-1,Training,57,U21,72,8411.044215734024,648.39098202736,95.30801955123691,14,10,3.15,4.0,29.5,86.8,441.4,4.1,141.0,16,17,19,17,3,295.2,190
2025-01-05,MD-1,Training,58,U21,73,8934.095295145036,450.4408613025578,0.0,14,14,2.6,3.65,27.1,87.4,757.1,6.8,168.2,17,14,18,18,6,496.4,201
2025-01-05,MD-1,Training,59,U21,89,8046.854908808542,470.69313581306176,0.0,13,16,3.45,2.73,27.8,84.2,644.9,4.4,132.1,19,21,25,22,2,391.6,234
2025-01-05,MD-1,Training,60,U21,67,4941.438099550891,266.08944196077886,87.24590897644836,15,13,3.91,3.45,26.4,79.8,241.5,4.0,161.7,14,16,14,18,5,268.0,185
2025-01-05,MD-1,Training,61,U19,85,7805.767641438641,693.9425954299803,107.36402601289835,11,8,2.56,3.5,26.5,79.6,724.8,7.4,139.5,18,21,17,24,5,629.0,232
2025-01-05,MD-1,Training,62,U19,78,8742.098181147108,789.7021637003888,261.84827229507664,9,10,2.53,3.04,30.7,93.6,608.7,4.6,159.3,17,15,21,22,3,358.79999999999995,213
2025-01-05,MD-1,Training,63,U19,88,7944.624817598012,412.69863756614427,177.88431265519225,13,15,3.37,3.99,32.7,92.6,484.3,6.5,143.4,24,24,19,16,5,572.0,218
2025-01-05,MD-1,Training,64,U19,61,4793.792377490099,478.33206004989285,110.21014290176726,15,12,3.18,3.51,29.4,90.5,269.0,7.7,130.0,14,15,15,12,5,469.7,162
2025-01-05,MD-1,Training,65,U19,61,8301.448125859204,479.909442636483,182.51598983557582,8,10,3.76,2.75,23.4,70.7,701.8,6.0,162.0,17,14,14,11,5,366.0,156
2025-01-05,MD-1,Training,66,U19,79,5345.22586403765,420.2970427586834,0.0,18,12,2.58,2.55,25.8,82.7,192.0,6.0,172.9,22,20,17,16,4,474.0,197
